Time,Current,Index
2.667992,-4.32E-10,11
2.668992,-4.29E-10,11
2.669992,-4.25E-10,11
2.670992,-4.23E-10,11
2.671992,-4.20E-10,11
2.672992,-4.19E-10,11
2.673992,-4.19E-10,11
2.674992,-4.19E-10,11
2.675992,-4.21E-10,11
2.676992,-4.23E-10,11
2.677992,-4.25E-10,11
2.678992,-4.27E-10,11
2.679992,-4.28E-10,11
2.680992,-4.28E-10,11
2.681992,-4.28E-10,11
2.682992,-4.26E-10,11
2.683992,-4.24E-10,11
2.684992,-4.20E-10,11
2.685992,-4.16E-10,11
2.686992,-4.13E-10,11
2.687992,-4.10E-10,11
2.688992,-4.08E-10,11
2.689992,-4.06E-10,11
2.690992,-4.06E-10,11
2.691992,-4.06E-10,11
2.692992,-4.08E-10,11
2.693992,-4.10E-10,11
2.694992,-4.12E-10,11
2.695992,-4.13E-10,11
2.696992,-4.14E-10,11
2.697992,-4.14E-10,11
2.698992,-4.13E-10,11
2.699992,-4.10E-10,11
2.700992,-4.07E-10,11
2.701992,-4.03E-10,11
2.702992,-3.99E-10,11
2.703992,-3.95E-10,11
2.704992,-3.92E-10,11
2.705992,-3.90E-10,11
2.706992,-3.88E-10,11
2.707992,-3.88E-10,11
2.708992,-3.88E-10,11
2.709992,-3.90E-10,11
2.710992,-3.91E-10,11
2.711992,-3.93E-10,11
2.712992,-3.94E-10,11
2.713992,-3.94E-10,11
2.714992,-3.93E-10,11
2.715992,-3.91E-10,11
2.716992,-3.88E-10,11
2.717992,-3.84E-10,11
2.718992,-3.80E-10,11
2.719992,-3.75E-10,11
2.720992,-3.71E-10,11
2.721992,-3.68E-10,11
2.722992,-3.66E-10,11
2.723992,-3.65E-10,11
2.724992,-3.64E-10,11
2.725992,-3.65E-10,11
2.726992,-3.66E-10,11
2.727992,-3.68E-10,11
2.728992,-3.69E-10,11
2.729992,-3.70E-10,11
2.730992,-3.70E-10,11
2.731992,-3.69E-10,11
2.732992,-3.67E-10,11
2.733992,-3.64E-10,11
2.734992,-3.60E-10,11
2.735992,-3.55E-10,11
2.736992,-3.51E-10,11
2.737992,-3.47E-10,11
2.738992,-3.44E-10,11
2.739992,-3.42E-10,11
2.740992,-3.41E-10,11
2.741992,-3.41E-10,11
2.742992,-3.42E-10,11
2.743992,-3.44E-10,11
2.744992,-3.45E-10,11
2.745992,-3.47E-10,11
2.746992,-3.47E-10,11
2.747992,-3.46E-10,11
2.748992,-3.44E-10,11
2.749992,-3.41E-10,11
2.750992,-3.38E-10,11
2.751992,-3.33E-10,11
2.752992,-3.29E-10,11
2.753992,-3.24E-10,11
2.754992,-3.21E-10,11
2.755992,-3.18E-10,11
2.756992,-3.16E-10,11
2.757992,-3.16E-10,11
2.758992,-3.16E-10,11
2.759992,-3.17E-10,11
2.760992,-3.18E-10,11
2.761992,-3.20E-10,11
2.762992,-3.20E-10,11
2.763992,-3.20E-10,11
2.764992,-3.20E-10,11
2.765992,-3.18E-10,11
2.766992,-3.15E-10,11
2.767992,-3.11E-10,11
2.768992,-3.07E-10,11
2.769992,-3.03E-10,11
2.770992,-2.99E-10,11
2.771992,-2.96E-10,11
2.772992,-2.94E-10,11
2.773992,-2.93E-10,11
2.774992,-2.93E-10,11
2.775992,-2.93E-10,11
2.776992,-2.95E-10,11
2.777992,-2.97E-10,11
2.778992,-2.98E-10,11
2.779992,-2.99E-10,11
2.780992,-2.99E-10,11
2.781992,-2.98E-10,11
2.782992,-2.96E-10,11
2.783992,-2.93E-10,11
2.784992,-2.89E-10,11
2.785992,-2.86E-10,11
2.786992,-2.82E-10,11
2.787992,-2.78E-10,11
2.788992,-2.76E-10,11
2.789992,-2.74E-10,11
2.790992,-2.73E-10,11
2.791992,-2.74E-10,11
2.792992,-2.76E-10,11
2.793992,-2.77E-10,11
2.794992,-2.79E-10,11
2.795992,-2.81E-10,11
2.796992,-2.82E-10,11
2.797992,-2.82E-10,11
2.798992,-2.80E-10,11
2.799992,-2.78E-10,11
2.800992,-2.75E-10,11
2.801992,-2.72E-10,11
2.802992,-2.68E-10,11
2.803992,-2.64E-10,11
2.804992,-2.61E-10,11
2.805992,-2.59E-10,11
2.806992,-2.58E-10,11
2.807992,-2.58E-10,11
2.808992,-2.59E-10,11
2.809992,-2.61E-10,11
2.810992,-2.63E-10,11
2.811992,-2.65E-10,11
2.812992,-2.66E-10,11
2.813992,-2.67E-10,11
2.814992,-2.66E-10,11
2.815992,-2.65E-10,11
2.816992,-2.63E-10,11
2.817992,-2.59E-10,11
2.818992,-2.56E-10,11
2.819992,-2.52E-10,11
2.820992,-2.49E-10,11
2.821992,-2.46E-10,11
2.822992,-2.44E-10,11
2.823992,-2.44E-10,11
2.824992,-2.44E-10,11
2.825992,-2.45E-10,11
2.826992,-2.47E-10,11
2.827992,-2.49E-10,11
2.828992,-2.51E-10,11
2.829992,-2.52E-10,11
2.830992,-2.53E-10,11
2.831992,-2.52E-10,11
2.832992,-2.50E-10,11
2.833992,-2.48E-10,11
2.834992,-2.44E-10,11
2.835992,-2.40E-10,11
2.836992,-2.37E-10,11
2.837992,-2.34E-10,11
2.838992,-2.31E-10,11
2.839992,-2.30E-10,11
2.840992,-2.29E-10,11
2.841992,-2.30E-10,11
2.842992,-2.32E-10,11
2.843992,-2.34E-10,11
2.844992,-2.35E-10,11
2.845992,-2.37E-10,11
2.846992,-2.37E-10,11
2.847992,-2.37E-10,11
2.848992,-2.37E-10,11
2.849992,-2.34E-10,11
2.850992,-2.31E-10,11
2.851992,-2.28E-10,11
2.852992,-2.25E-10,11
2.853992,-2.21E-10,11
2.854992,-2.18E-10,11
2.855992,-2.16E-10,11
2.856992,-2.15E-10,11
2.857992,-2.15E-10,11
2.858992,-2.16E-10,11
2.859992,-2.18E-10,11
2.860992,-2.20E-10,11
2.861992,-2.22E-10,11
2.862992,-2.24E-10,11
2.863992,-2.25E-10,11
2.864992,-2.24E-10,11
2.865992,-2.23E-10,11
2.866992,-2.21E-10,11
2.867992,-2.17E-10,11
2.868992,-2.14E-10,11
2.869992,-2.11E-10,11
2.870992,-2.08E-10,11
2.871992,-2.05E-10,11
2.872992,-2.03E-10,11
2.873992,-2.03E-10,11
2.874992,-2.03E-10,11
2.875992,-2.05E-10,11
2.876992,-2.07E-10,11
2.877992,-2.09E-10,11
2.878992,-2.11E-10,11
2.879992,-2.12E-10,11
2.880992,-2.12E-10,11
2.881992,-2.12E-10,11
2.882992,-2.10E-10,11
2.883992,-2.08E-10,11
2.884992,-2.05E-10,11
2.885992,-2.01E-10,11
2.886992,-1.97E-10,11
2.887992,-1.95E-10,11
2.888992,-1.93E-10,11
2.889992,-1.91E-10,11
2.890992,-1.91E-10,11
2.891992,-1.92E-10,11
2.892992,-1.94E-10,11
2.893992,-1.96E-10,11
2.894992,-1.98E-10,11
2.895992,-2.00E-10,11
2.896992,-2.01E-10,11
2.897992,-2.02E-10,11
2.898992,-2.01E-10,11
2.899992,-1.99E-10,11
2.900992,-1.97E-10,11
2.901992,-1.94E-10,11
2.902992,-1.91E-10,11
2.903992,-1.87E-10,11
2.904992,-1.85E-10,11
2.905992,-1.83E-10,11
2.906992,-1.82E-10,11
2.907992,-1.83E-10,11
2.908992,-1.84E-10,11
2.909992,-1.86E-10,11
2.910992,-1.89E-10,11
2.911992,-1.91E-10,11
2.912992,-1.93E-10,11
2.913992,-1.94E-10,11
2.914992,-1.94E-10,11
2.915992,-1.93E-10,11
2.916992,-1.91E-10,11
2.917992,-1.88E-10,11
2.918992,-1.85E-10,11
2.919992,-1.82E-10,11
2.920992,-1.79E-10,11
2.921992,-1.77E-10,11
2.922992,-1.76E-10,11
2.923992,-1.76E-10,11
2.924992,-1.76E-10,11
2.925992,-1.78E-10,11
2.926992,-1.81E-10,11
2.927992,-1.83E-10,11
2.928992,-1.85E-10,11
2.929992,-1.87E-10,11
2.930992,-1.88E-10,11
2.931992,-1.88E-10,11
2.932992,-1.87E-10,11
2.933992,-1.85E-10,11
2.934992,-1.82E-10,11
2.935992,-1.79E-10,11
2.936992,-1.76E-10,11
2.937992,-1.74E-10,11
2.938992,-1.72E-10,11
2.939992,-1.71E-10,11
2.940992,-1.72E-10,11
2.941992,-1.73E-10,11
2.942992,-1.75E-10,11
2.943992,-1.78E-10,11
2.944992,-1.81E-10,11
2.945992,-1.83E-10,11
2.946992,-1.85E-10,11
2.947992,-1.86E-10,11
2.948992,-1.86E-10,11
2.949992,-1.85E-10,11
2.950992,-1.83E-10,11
2.951992,-1.80E-10,11
2.952992,-1.77E-10,11
2.953992,-1.74E-10,11
2.954992,-1.72E-10,11
2.955992,-1.71E-10,11
2.956992,-1.71E-10,11
2.957992,-1.72E-10,11
2.958992,-1.74E-10,11
2.959992,-1.77E-10,11
2.960992,-1.80E-10,11
2.961992,-1.83E-10,11
2.962992,-1.85E-10,11
2.963992,-1.87E-10,11
2.964992,-1.87E-10,11
2.965992,-1.87E-10,11
2.966992,-1.86E-10,11
2.967992,-1.83E-10,11
2.968992,-1.81E-10,11
2.969992,-1.78E-10,11
2.970992,-1.76E-10,11
2.971992,-1.74E-10,11
2.972992,-1.74E-10,11
2.973992,-1.74E-10,11
2.974992,-1.75E-10,11
2.975992,-1.78E-10,11
2.976992,-1.81E-10,11
2.977992,-1.84E-10,11
2.978992,-1.87E-10,11
2.979992,-1.89E-10,11
2.980992,-1.90E-10,11
2.981992,-1.91E-10,11
2.982992,-1.90E-10,11
2.983992,-1.89E-10,11
2.984992,-1.86E-10,11
2.985992,-1.83E-10,11
2.986992,-1.81E-10,11
2.987992,-1.79E-10,11
2.988992,-1.77E-10,11
2.989992,-1.77E-10,11
2.990992,-1.78E-10,11
2.991992,-1.79E-10,11
2.992992,-1.82E-10,11
2.993992,-1.85E-10,11
2.994992,-1.88E-10,11
2.995992,-1.90E-10,11
2.996992,-1.92E-10,11
2.997992,-1.93E-10,11
2.998992,-1.93E-10,11
2.999992,-1.92E-10,11
3.000992,-1.90E-10,11
3.001992,-1.87E-10,11
3.002992,-1.85E-10,11
3.003992,-1.82E-10,11
3.004992,-1.80E-10,11
3.005992,-1.80E-10,11
3.006992,-1.80E-10,11
3.007992,-1.80E-10,11
3.008992,-1.82E-10,11
3.009992,-1.84E-10,11
3.010992,-1.88E-10,11
3.011992,-1.91E-10,11
3.012992,-1.93E-10,11
3.013992,-1.95E-10,11
3.014992,-1.95E-10,11
3.015992,-1.95E-10,11
3.016992,-1.93E-10,11
3.017992,-1.91E-10,11
3.018992,-1.88E-10,11
3.019992,-1.86E-10,11
