Time,Current,Index
-0.016009,1.85E-11,20
-0.015009,3.70E-11,20
-0.014009,5.53E-11,20
-0.013009,5.48E-11,20
-0.012009,5.44E-11,20
-0.011009,5.39E-11,20
-0.010009,5.36E-11,20
-0.009009,5.34E-11,20
-0.008009,5.38E-11,20
-0.007009,5.42E-11,20
-0.006009,5.46E-11,20
-0.005009,5.48E-11,20
-0.004009,5.54E-11,20
-0.003009,5.57E-11,20
-0.002009,5.58E-11,20
-0.001009,5.56E-11,20
-9.20E-06,5.52E-11,20
0.000991,5.46E-11,20
0.001991,5.38E-11,20
0.002991,5.29E-11,20
0.003991,5.23E-11,20
0.004991,5.17E-11,20
0.005991,5.16E-11,20
0.006991,5.14E-11,20
0.007991,5.15E-11,20
0.008991,5.16E-11,20
0.009991,5.24E-11,20
0.010991,5.27E-11,20
0.011991,5.30E-11,20
0.012991,5.31E-11,20
0.013991,5.33E-11,20
0.014991,5.32E-11,20
0.015991,5.29E-11,20
0.016991,5.23E-11,20
0.017991,5.18E-11,20
0.018991,5.10E-11,20
0.019991,5.03E-11,20
0.020991,4.95E-11,20
0.021991,4.90E-11,20
0.022991,4.87E-11,20
0.023991,4.87E-11,20
0.024991,4.88E-11,20
0.025991,4.90E-11,20
0.026991,4.93E-11,20
0.027991,4.96E-11,20
0.028991,5.00E-11,20
0.029991,5.03E-11,20
0.030991,5.04E-11,20
0.031991,5.04E-11,20
0.032991,5.01E-11,20
0.033991,4.94E-11,20
0.034991,4.83E-11,20
0.035991,4.74E-11,20
0.036991,4.67E-11,20
0.037991,4.64E-11,20
0.038991,4.59E-11,20
0.039991,4.56E-11,20
0.040991,4.53E-11,20
0.041991,4.53E-11,20
0.042991,4.56E-11,20
0.043991,4.59E-11,20
0.044991,4.65E-11,20
0.045991,4.69E-11,20
0.046991,4.73E-11,20
0.047991,4.72E-11,20
0.048991,4.72E-11,20
0.049991,4.65E-11,20
0.050991,4.57E-11,20
0.051991,4.46E-11,20
0.052991,4.38E-11,20
0.053991,4.28E-11,20
0.054991,4.20E-11,20
0.055991,4.16E-11,20
0.056991,4.17E-11,20
0.057991,4.19E-11,20
0.058991,4.20E-11,20
0.059991,4.22E-11,20
0.060991,4.26E-11,20
0.061991,4.31E-11,20
0.062991,4.34E-11,20
0.063991,4.36E-11,20
0.064991,4.33E-11,20
0.065991,4.29E-11,20
0.066991,4.23E-11,20
0.067991,4.17E-11,20
0.068991,4.10E-11,20
0.069991,4.02E-11,20
0.070991,3.94E-11,20
0.071991,3.87E-11,20
0.072991,3.82E-11,20
0.073991,3.82E-11,20
0.074991,3.84E-11,20
0.075991,3.88E-11,20
0.076991,3.92E-11,20
0.077991,3.96E-11,20
0.078991,4.00E-11,20
0.079991,4.02E-11,20
0.080991,4.00E-11,20
0.081991,3.97E-11,20
0.082991,3.94E-11,20
0.083991,3.90E-11,20
0.084991,3.84E-11,20
0.085991,3.77E-11,20
0.086991,3.70E-11,20
0.087991,3.64E-11,20
0.088991,3.59E-11,20
0.089991,3.57E-11,20
0.090991,3.56E-11,20
0.091991,3.56E-11,20
