Time,Current,Index
2.547983,7.10E-10,1
2.548983,7.10E-10,1
2.549983,7.10E-10,1
2.550983,7.10E-10,1
2.551983,7.09E-10,1
2.552983,7.09E-10,1
2.553983,7.09E-10,1
2.554983,7.08E-10,1
2.555983,7.08E-10,1
2.556983,7.07E-10,1
2.557983,7.07E-10,1
2.558983,7.06E-10,1
2.559983,7.05E-10,1
2.560983,7.04E-10,1
2.561983,7.04E-10,1
2.562983,7.03E-10,1
2.563983,7.02E-10,1
2.564983,7.01E-10,1
2.565983,7.00E-10,1
2.566983,6.99E-10,1
2.567983,6.98E-10,1
2.568983,6.97E-10,1
2.569983,6.95E-10,1
2.570983,6.94E-10,1
2.571983,6.93E-10,1
2.572983,6.92E-10,1
2.573983,6.90E-10,1
2.574983,6.89E-10,1
2.575983,6.87E-10,1
2.576983,6.86E-10,1
2.577983,6.84E-10,1
2.578983,6.83E-10,1
2.579983,6.81E-10,1
2.580983,6.79E-10,1
2.581983,6.78E-10,1
2.582983,6.76E-10,1
2.583983,6.74E-10,1
2.584983,6.72E-10,1
2.585983,6.70E-10,1
2.586983,6.68E-10,1
2.587983,6.66E-10,1
2.588983,6.65E-10,1
2.589983,6.63E-10,1
2.590983,6.60E-10,1
2.591983,6.58E-10,1
2.592983,6.56E-10,1
2.593983,6.54E-10,1
2.594983,6.52E-10,1
2.595983,6.50E-10,1
2.596983,6.48E-10,1
2.597983,6.46E-10,1
2.598983,6.44E-10,1
2.599983,6.41E-10,1
2.600983,6.39E-10,1
2.601983,6.36E-10,1
2.602983,6.34E-10,1
2.603983,6.32E-10,1
2.604983,6.30E-10,1
2.605983,6.27E-10,1
2.606983,6.25E-10,1
2.607983,6.22E-10,1
2.608983,6.20E-10,1
2.609983,6.17E-10,1
2.610983,6.14E-10,1
2.611983,6.12E-10,1
2.612983,6.09E-10,1
2.613983,6.06E-10,1
2.614983,6.03E-10,1
2.615983,6.00E-10,1
2.616983,5.97E-10,1
2.617983,5.94E-10,1
2.618983,5.91E-10,1
2.619983,5.88E-10,1
2.620983,5.85E-10,1
2.621983,5.82E-10,1
2.622983,5.79E-10,1
2.623983,5.75E-10,1
2.624983,5.72E-10,1
2.625983,5.69E-10,1
2.626983,5.65E-10,1
2.627983,5.62E-10,1
2.628983,5.58E-10,1
2.629983,5.54E-10,1
2.630983,5.51E-10,1
2.631983,5.47E-10,1
2.632983,5.43E-10,1
2.633983,5.40E-10,1
2.634983,5.35E-10,1
2.635983,5.31E-10,1
2.636983,5.27E-10,1
2.637983,5.23E-10,1
2.638983,5.19E-10,1
2.639983,5.14E-10,1
2.640983,5.10E-10,1
2.641983,5.06E-10,1
2.642983,5.01E-10,1
2.643983,4.97E-10,1
2.644983,4.92E-10,1
2.645983,4.87E-10,1
2.646983,4.83E-10,1
2.647983,4.78E-10,1
2.648983,4.73E-10,1
2.649983,4.68E-10,1
2.650983,4.63E-10,1
2.651983,4.59E-10,1
2.652983,4.53E-10,1
2.653983,4.48E-10,1
2.654983,4.43E-10,1
2.655983,4.38E-10,1
2.656983,4.32E-10,1
2.657983,4.27E-10,1
2.658983,4.22E-10,1
2.659983,4.17E-10,1
2.660983,4.11E-10,1
2.661983,4.06E-10,1
2.662983,4.01E-10,1
2.663983,3.95E-10,1
2.664983,3.90E-10,1
2.665983,3.84E-10,1
2.666983,3.79E-10,1
2.667983,3.73E-10,1
2.668983,3.68E-10,1
2.669983,3.62E-10,1
2.670983,3.57E-10,1
2.671983,3.51E-10,1
2.672983,3.45E-10,1
2.673983,3.40E-10,1
2.674983,3.34E-10,1
2.675983,3.28E-10,1
2.676983,3.22E-10,1
2.677983,3.17E-10,1
2.678983,3.11E-10,1
2.679983,3.06E-10,1
2.680983,3.00E-10,1
2.681983,2.94E-10,1
2.682983,2.88E-10,1
2.683983,2.83E-10,1
2.684983,2.77E-10,1
2.685983,2.71E-10,1
2.686983,2.66E-10,1
2.687983,2.60E-10,1
2.688983,2.54E-10,1
2.689983,2.48E-10,1
2.690983,2.43E-10,1
2.691983,2.37E-10,1
2.692983,2.31E-10,1
2.693983,2.26E-10,1
2.694983,2.21E-10,1
2.695983,2.15E-10,1
2.696983,2.10E-10,1
2.697983,2.04E-10,1
2.698983,1.99E-10,1
2.699983,1.94E-10,1
2.700983,1.88E-10,1
2.701983,1.83E-10,1
2.702983,1.78E-10,1
2.703983,1.73E-10,1
2.704983,1.68E-10,1
2.705983,1.63E-10,1
2.706983,1.57E-10,1
2.707983,1.52E-10,1
2.708983,1.47E-10,1
2.709983,1.43E-10,1
2.710983,1.38E-10,1
2.711983,1.33E-10,1
2.712983,1.28E-10,1
2.713983,1.24E-10,1
2.714983,1.19E-10,1
2.715983,1.14E-10,1
2.716983,1.10E-10,1
2.717983,1.05E-10,1
2.718983,1.01E-10,1
2.719983,9.69E-11,1
2.720983,9.27E-11,1
2.721983,8.86E-11,1
2.722983,8.42E-11,1
2.723983,8.00E-11,1
2.724983,7.56E-11,1
2.725983,7.16E-11,1
2.726983,6.74E-11,1
2.727983,6.34E-11,1
2.728983,5.94E-11,1
2.729983,5.54E-11,1
2.730983,5.15E-11,1
2.731983,4.75E-11,1
2.732983,4.37E-11,1
2.733983,3.98E-11,1
2.734983,3.59E-11,1
2.735983,3.20E-11,1
2.736983,2.81E-11,1
2.737983,2.41E-11,1
2.738983,2.06E-11,1
2.739983,1.68E-11,1
2.740983,1.32E-11,1
2.741983,9.43E-12,1
2.742983,5.89E-12,1
2.743983,2.45E-12,1
2.744983,-9.82E-13,1
2.745983,-4.53E-12,1
2.746983,-7.96E-12,1
2.747983,-1.14E-11,1
2.748983,-1.48E-11,1
2.749983,-1.82E-11,1
2.750983,-2.16E-11,1
2.751983,-2.48E-11,1
2.752983,-2.80E-11,1
2.753983,-3.12E-11,1
2.754983,-3.43E-11,1
2.755983,-3.74E-11,1
2.756983,-4.05E-11,1
2.757983,-4.36E-11,1
2.758983,-4.65E-11,1
2.759983,-4.95E-11,1
2.760983,-5.22E-11,1
2.761983,-5.54E-11,1
2.762983,-5.83E-11,1
2.763983,-6.13E-11,1
2.764983,-6.40E-11,1
2.765983,-6.67E-11,1
2.766983,-6.94E-11,1
2.767983,-7.21E-11,1
2.768983,-7.45E-11,1
2.769983,-7.70E-11,1
2.770983,-7.92E-11,1
2.771983,-8.17E-11,1
2.772983,-8.42E-11,1
2.773983,-8.65E-11,1
2.774983,-8.88E-11,1
2.775983,-9.08E-11,1
2.776983,-9.28E-11,1
2.777983,-9.49E-11,1
2.778983,-9.70E-11,1
2.779983,-9.91E-11,1
2.780983,-1.01E-10,1
2.781983,-1.03E-10,1
2.782983,-1.05E-10,1
2.783983,-1.06E-10,1
2.784983,-1.08E-10,1
2.785983,-1.10E-10,1
2.786983,-1.11E-10,1
2.787983,-1.13E-10,1
2.788983,-1.14E-10,1
