Time,Current,Index
5.871992,-9.30E-10,8
5.872992,-9.30E-10,8
5.873992,-9.30E-10,8
5.874992,-9.30E-10,8
5.875992,-9.30E-10,8
5.876992,-9.30E-10,8
5.877992,-9.30E-10,8
5.878992,-9.30E-10,8
5.879992,-9.29E-10,8
5.880992,-9.29E-10,8
5.881992,-9.29E-10,8
5.882992,-9.28E-10,8
5.883992,-9.28E-10,8
5.884992,-9.27E-10,8
5.885992,-9.27E-10,8
5.886992,-9.27E-10,8
5.887992,-9.26E-10,8
5.888992,-9.25E-10,8
5.889992,-9.25E-10,8
5.890992,-9.24E-10,8
5.891992,-9.23E-10,8
5.892992,-9.23E-10,8
5.893992,-9.22E-10,8
5.894992,-9.21E-10,8
5.895992,-9.20E-10,8
5.896992,-9.19E-10,8
5.897992,-9.18E-10,8
5.898992,-9.17E-10,8
5.899992,-9.17E-10,8
5.900992,-9.16E-10,8
5.901992,-9.15E-10,8
5.902992,-9.15E-10,8
5.903992,-9.14E-10,8
5.904992,-9.13E-10,8
5.905992,-9.13E-10,8
5.906992,-9.12E-10,8
5.907992,-9.11E-10,8
5.908992,-9.10E-10,8
5.909992,-9.09E-10,8
5.910992,-9.09E-10,8
5.911992,-9.08E-10,8
5.912992,-9.07E-10,8
5.913992,-9.06E-10,8
5.914992,-9.06E-10,8
5.915992,-9.05E-10,8
5.916992,-9.04E-10,8
5.917992,-9.03E-10,8
5.918992,-9.02E-10,8
5.919992,-9.02E-10,8
5.920992,-9.01E-10,8
5.921992,-9.01E-10,8
5.922992,-9.00E-10,8
5.923992,-9.00E-10,8
5.924992,-8.99E-10,8
5.925992,-8.98E-10,8
5.926992,-8.97E-10,8
5.927992,-8.96E-10,8
5.928992,-8.95E-10,8
5.929992,-8.95E-10,8
5.930992,-8.94E-10,8
5.931992,-8.93E-10,8
5.932992,-8.93E-10,8
5.933992,-8.92E-10,8
5.934992,-8.91E-10,8
5.935992,-8.91E-10,8
5.936992,-8.90E-10,8
5.937992,-8.90E-10,8
5.938992,-8.89E-10,8
5.939992,-8.89E-10,8
5.940992,-8.89E-10,8
5.941992,-8.88E-10,8
5.942992,-8.87E-10,8
5.943992,-8.86E-10,8
5.944992,-8.86E-10,8
5.945992,-8.85E-10,8
5.946992,-8.85E-10,8
5.947992,-8.84E-10,8
5.948992,-8.84E-10,8
5.949992,-8.84E-10,8
5.950992,-8.84E-10,8
5.951992,-8.83E-10,8
5.952992,-8.83E-10,8
5.953992,-8.84E-10,8
5.954992,-8.84E-10,8
5.955992,-8.84E-10,8
5.956992,-8.84E-10,8
5.957992,-8.84E-10,8
5.958992,-8.84E-10,8
5.959992,-8.85E-10,8
5.960992,-8.85E-10,8
5.961992,-8.85E-10,8
5.962992,-8.86E-10,8
5.963992,-8.86E-10,8
5.964992,-8.87E-10,8
5.965992,-8.88E-10,8
5.966992,-8.89E-10,8
5.967992,-8.91E-10,8
5.968992,-8.92E-10,8
